_ID, TimeSt,Country,Province,City,Latitude,Longitude,Associated POI,Distance POI
4957158,31:35.1,CA,AB,Edmonton,53.60754,-113.48698,POI1,0.061385646897303435
4957255,31:30.5,CA,ON,Peterborough,44.3022,-78.3342,POI3,4.921636867244166
4957258,31:31.3,CA,ON,Toronto,43.6477,-79.4174,POI3,6.14412003385489
4957311,31:33.0,CA,ON,York,43.703,-79.512,POI3,6.217880831297509
4957377,31:34.6,CA,ON,Scarborough,43.7589,-79.225,POI3,5.92715976636508
4957405,31:34.7,CA,ON,Mississauga,43.61147,-79.60398,POI3,6.3328998147149855
4957445,31:34.7,CA,AB,Strathmore,51.0468,-113.393,POI1,2.5010867628782885
4957474,31:34.9,CA,AB,Edmonton,53.5046,-113.453,POI1,0.05290869725289831
4957892,31:37.9,CA,AB,Calgary,51.0419,-114.2,POI1,2.6041369253641418
4957963,31:39.2,CA,ON,Brampton,43.69091,-79.76568,POI3,6.464307122599996
4957985,31:39.6,CA,SK,Kinistino,52.85519,-105.23496,POI1,8.27965704685918
4958061,31:34.9,CA,AB,Calgary,51.0818,-113.959,POI1,2.509399413693442
4958187,31:35.7,CA,ON,Mississauga,43.58592,-79.78269,POI3,6.511060243020105
4958234,31:35.8,CA,ON,Kanata,45.36897,-75.94475,POI3,2.3836195487864673
4958272,31:38.0,CA,ON,Burlington,43.3016,-79.8582,POI3,6.672331494748815
4958334,31:38.9,CA,ON,Toronto,43.6531,-79.4847,POI3,6.206619548257896
4958404,31:39.7,CA,AB,Calgary,50.94615,-114.13562,POI1,2.68000750246804
4958515,31:36.3,CA,AB,Edmonton,53.587,-113.441,POI1,0.06056785157985817
4958592,31:36.3,CA,MB,Brandon,49.81635,-99.96524,POI1,14.025522908523765
4958622,31:36.5,CA,ON,Toronto,43.65796,-79.37662,POI3,6.102154375036494
4958698,31:38.8,CA,AB,Calgary,51.063,-113.889,POI1,2.5156990711619254
4958733,31:39.1,CA,ON,Mississauga,43.5355,-79.6915,POI3,6.4394226939390355
4958824,31:39.2,CA,QC,Laval,45.6168,-73.7825,POI3,0.23647278451652773
4958888,31:39.8,CA,AB,Edmonton,53.50748,-113.68446,POI1,0.20245667942797727
4959039,31:35.8,CA,AB,Calgary,51.0381,-114.118,POI1,2.586534432642447
4959377,31:35.9,CA,ON,Scarborough,43.6959,-79.2651,POI3,5.984375793281789
4959436,31:36.2,CA,ON,Burlington,43.303,-79.7988,POI3,6.615875702113592
4959675,31:36.7,CA,SK,Saskatoon,52.1225,-106.72488,POI1,6.909122559066739
4959805,31:39.3,CA,ON,Toronto,43.6447,-79.3841,POI3,6.113335489961028
4959880,31:39.0,CA,ON,Toronto,43.6666,-79.3823,POI3,6.104932358267125
4959958,31:39.0,CA,ON,Ottawa,45.4555,-75.6552,POI3,2.0902223335370276
4960049,31:43.9,CA,ON,Oshawa,43.88916,-78.86763,POI3,5.547249878561185
4960108,31:44.0,CA,SK,Saskatoon,52.12859,-106.69364,POI1,6.938448346407493
4960144,31:44.4,CA,NL,Grand Falls-Windsor,48.9341,-55.6512,POI4,8.440276411986812
4960232,31:41.4,CA,ON,Mississauga,43.5873,-79.6076,POI3,6.343679472042788
4960280,31:43.5,CA,AB,Red Deer,52.2458,-113.75094,POI1,1.3271354705247647
4960440,31:43.7,CA,AB,Red Deer,52.2458,-113.75094,POI1,1.3271354705247647
4960631,31:42.7,CA,AB,Calgary,50.95738,-114.22057,POI1,2.6910596571360106
4960669,31:43.7,CA,ON,Woodbridge,43.7929,-79.6011,POI3,6.27778992012452
4960728,31:41.2,CA,AB,Calgary,51.0823,-113.9578,POI1,2.5086823039287007
4960748,31:42.1,CA,AB,Calgary,50.94615,-114.13562,POI1,2.68000750246804
4960813,31:43.1,CA,QC,Longueuil,45.50906,-73.4562,POI3,0.11054090074266942
4960891,31:43.3,CA,SK,Saskatoon,52.1225,-106.72488,POI1,6.909122559066739
4960894,31:43.6,CA,ON,Etobicoke,43.6068,-79.5063,POI3,6.241269827159932
4960936,31:44.6,CA,SK,Leask,52.9284,-106.7905,POI1,6.723674172730635
4960949,31:44.9,CA,AB,Edmonton,53.4564,-113.521,POI1,0.09644586587821986
4960966,31:46.0,CA,MB,Winnipeg,49.92422,-97.20587,POI1,16.67790370308285
4961049,31:40.6,CA,ON,Newmarket,44.0587,-79.4591,POI3,6.071944169771085
4961082,31:43.3,CA,BC,Richmond,49.1626,-123.1721,POI1,10.63209038380718
4961118,31:43.7,CA,ON,Brampton,43.7147,-79.7014,POI3,6.395923003946896
4961167,31:44.5,CA,AB,Edmonton,53.41976,-113.53055,POI1,0.13411638044997012
4961221,31:45.3,CA,ON,Tecumseh,42.3014,-82.8691,POI3,9.844648184380032
4961366,31:48.3,CA,AB,Edmonton,53.5382,-113.5837,POI1,0.09828942081933238
4961429,31:49.6,CA,AB,Calgary,51.0412,-114.0762,POI1,2.573618030758445
4961552,31:45.4,CA,AB,Calgary,51.11516,-114.08176,POI1,2.503006597419388
4961625,31:46.1,CA,AB,Edmonton,53.60754,-113.48699,POI1,0.06138585069053313
4961752,31:49.7,CA,ON,Ajax,43.89696,-79.02653,POI3,5.697076016308448
4961950,31:45.9,CA,ON,Ottawa,45.4129,-75.6901,POI3,2.1268570354438516
4961980,31:47.8,CA,QC,Montreal,45.5695,-73.5731,POI3,0.04839113986051613
4962062,31:49.3,CA,QC,Laval,45.57314,-73.7289,POI3,0.17082732362534858
4962115,31:49.8,CA,ON,Ajax,43.8558,-79.0179,POI3,5.700696288754293
4962197,31:49.8,CA,ON,Barrie,44.4015,-79.6782,POI3,6.213966883691694
4962270,31:50.7,CA,ON,Scarborough,43.7667,-79.2386,POI3,5.937835823834898
4962344,31:47.0,CA,SK,Saskatoon,52.28962,-106.72596,POI1,6.875569423275784
4962386,31:49.7,CA,ON,Etobicoke,43.6651,-79.5294,POI3,6.245682768538356
4962531,31:50.9,CA,AB,Calgary,51.0412,-114.0762,POI1,2.573618030758445
4962541,31:51.0,CA,ON,Ottawa,45.3578,-75.7095,POI3,2.149727727833697
4962583,31:46.8,CA,AB,Calgary,51.0378,-114.08,POI1,2.577800823462706
4962656,31:49.0,CA,AB,Edmonton,53.47357,-113.39662,POI1,0.11494185227756834
4962682,31:49.8,CA,QC,Laval,45.5584,-73.7636,POI3,0.20096861002902747
4962710,31:51.1,CA,ON,Brampton,43.684,-79.7716,POI3,6.471943590098503
4962760,31:51.0,CA,ON,Brampton,43.684,-79.7716,POI3,6.471943590098503
4962885,31:53.0,CA,AB,Edmonton,53.41976,-113.53055,POI1,0.13411638044997012
4962990,31:54.1,CA,ON,Mississauga,43.5769,-79.6283,POI3,6.366565886222881
4963036,31:54.1,CA,ON,Toronto,43.6557,-79.3646,POI3,6.091401699183608
4963362,31:54.4,CA,ON,Windsor,42.3297,-82.9482,POI3,9.910279372248645
4963363,31:54.4,CA,ON,Thornhill,43.8395,-79.3831,POI3,6.055405119594971
4963455,31:54.5,CA,ON,Concord,43.8061,-79.5008,POI3,6.17775087875976
4963482,31:54.8,CA,AB,Calgary,51.169,-114.149,POI1,2.4679636813869466
4963494,31:51.1,CA,ON,Gloucester,45.2836,-75.683,POI3,2.1303157487605056
4963532,31:51.2,CA,ON,Scarborough,43.7667,-79.2386,POI3,5.937835823834898
4963539,31:51.4,CA,AB,Sherwood Park,53.5398,-113.283,POI1,0.2028339553551054
4963570,31:51.6,CA,ON,Burlington,43.3756,-79.8145,POI3,6.606730870212359
4963722,31:54.1,CA,ON,Burlington,43.3756,-79.8145,POI3,6.606730870212359
4963783,31:54.1,CA,QC,Vaudreuil-Dorion,45.3838,-74.041,POI3,0.49456954396424085
4963861,31:54.2,CA,AB,Calgary,51.0081,-114.073,POI1,2.605122924402031
4963955,31:54.3,CA,ON,Burlington,43.3799,-79.7668,POI3,6.560230644696652
4964044,31:54.4,CA,BC,Surrey,49.12977,-122.72125,POI1,10.237153815776388
4964105,31:54.6,CA,ON,Brampton,43.6971,-79.7944,POI3,6.490113532844935
4964171,31:55.0,CA,ON,Mississauga,43.6046,-79.6729,POI3,6.400697982737273
4964198,31:55.3,CA,ON,Guelph,43.5776,-80.2201,POI3,6.932241785066144
4964248,31:51.3,CA,ON,Burlington,43.3889,-79.7682,POI3,6.558621815779358
4964317,31:53.2,CA,QC,Gatineau,45.46846,-75.69981,POI3,2.134448321313262
4964360,31:54.1,CA,ON,Oakville,43.4462,-79.6688,POI3,6.4460282686486154
4964434,31:54.2,CA,ON,Brampton,43.70287,-79.75283,POI3,6.4486008390748655
4964612,31:54.5,CA,ON,Brampton,43.69091,-79.76568,POI3,6.464307122599996
4964643,31:55.8,CA,ON,Mississauga,43.6079,-79.6031,POI3,6.333138662244573
4964718,31:51.4,CA,ON,Mississauga,43.5637,-79.7202,POI3,6.458124201965853
4964802,31:51.4,CA,AB,Calgary,51.0433,-114.064,POI1,2.568800262076632
4964875,31:51.6,CA,ON,Mississauga,43.57017,-79.57893,POI3,6.3216477910048905
4964917,31:51.6,CA,ON,Etobicoke,43.6879,-79.557,POI3,6.265329638416246
4964929,31:53.2,CA,AB,Calgary,51.0494,-113.9564,POI1,2.540742398560901
4964976,31:54.0,CA,AB,Edmonton,53.56078,-113.45903,POI1,0.030440817745255554
4965021,31:54.6,CA,ON,Toronto,43.70815,-79.39775,POI3,6.107187095751776
4965090,31:54.7,CA,AB,Calgary,51.0378,-114.08,POI1,2.577800823462706
4965154,31:54.8,CA,ON,Ottawa,45.41547,-75.67078,POI3,2.107431506079611
4965395,31:59.1,CA,AB,Beaumont,53.3545,-113.414,POI1,0.2046509360960685
4965435,32:00.8,CA,AB,Edmonton,53.41976,-113.53055,POI1,0.13411638044997012
4965466,31:56.8,CA,AB,Calgary,51.0823,-113.9578,POI1,2.5086823039287007
4965512,31:57.8,CA,AB,Edmonton,53.4567,-113.5801,POI1,0.13003571065288694
4965520,31:58.3,CA,AB,Calgary,51.1264,-114.1419,POI1,2.507154991986937
4965548,32:01.4,CA,AB,Edmonton,53.4154,-113.4178,POI1,0.1473602274869269
4965588,31:58.0,CA,AB,Calgary,50.8837,-114.0326,POI1,2.718049474907513
4965626,32:01.0,CA,AB,Edmonton,53.41976,-113.53055,POI1,0.13411638044997012
4965673,31:56.3,CA,ON,Toronto,43.7068,-79.3991,POI3,6.108877140769574
4965697,31:59.3,CA,ON,Ottawa,45.444,-75.693,POI3,2.12839215517653
4965734,31:58.6,CA,AB,Beaumont,53.43276,-113.43939,POI1,0.12251087292562253
4965759,32:01.2,CA,NB,Moncton,46.1033,-64.815,POI4,1.8097765216570239
4965861,32:05.0,CA,AB,Cochrane,51.18377,-114.51196,POI1,2.5756667852587203
4965911,32:04.1,CA,NS,Halifax,44.6496,-63.6133,POI4,0.6897273656605194
4965931,32:04.3,CA,NS,Halifax,44.6496,-63.6133,POI4,0.6897273656605194
4965943,32:04.9,CA,ON,Mississauga,43.7029,-79.6553,POI3,6.355081225257233
4965974,32:05.0,CA,ON,Burlington,43.3889,-79.7682,POI3,6.558621815779358
4966069,32:05.0,CA,ON,Brampton,43.76801,-79.66523,POI3,6.346297615743919
4966096,32:07.5,CA,ON,North York,43.7302,-79.4951,POI3,6.193800132052771
4966136,32:05.1,CA,AB,Calgary,51.13417,-114.23782,POI1,2.5265317887184806
4966149,32:05.6,CA,ON,Mississauga,43.59226,-79.6727,POI3,6.404213964815438
4966165,32:06.3,CA,ON,Mississauga,43.5738,-79.7193,POI3,6.4542112876336075
4966184,32:04.8,CA,ON,London,42.993,-81.169,POI3,8.01244086881251
4966484,32:05.2,CA,ON,Etobicoke,43.6855,-79.59419,POI3,6.301599402389602
4966510,32:06.2,CA,ON,Burlington,43.332,-79.807,POI3,6.613944102441223
4966593,32:07.8,CA,AB,Edmonton,53.4564,-113.521,POI1,0.09644586587821986
4966616,32:08.0,CA,AB,Saint Albert,53.6334,-113.6353,POI1,0.1731461366736289
4966658,32:09.4,CA,NS,New Waterford,46.23814,-60.08724,POI4,3.3046782302095608
4966677,32:09.5,CA,AB,Calgary,51.053,-114.161,POI1,2.582995520833323
4966750,32:08.0,CA,QC,Sainte-Sophie,45.81982,-73.94213,POI3,0.4799724947504878
4966757,32:09.4,CA,ON,Mississauga,43.5738,-79.7193,POI3,6.4542112876336075
4966820,32:09.4,CA,ON,North York,43.76301,-79.33801,POI3,6.033950875782547
4966890,32:09.5,CA,ON,Mississauga,43.5872,-79.643,POI3,6.377433093386163
4966921,32:09.7,CA,ON,Brampton,43.7592,-79.7605,POI3,6.440317452937931
4966991,32:09.8,CA,ON,Orangeville,43.9202,-80.0942,POI3,6.721730188650613
4967080,32:09.9,CA,AB,Okotoks,50.7362,-113.9695,POI1,2.8513056805339208
4967103,32:10.1,CA,SK,Saskatoon,52.1225,-106.72488,POI1,6.909122559066739
4967196,32:08.7,CA,AB,Edmonton,53.41976,-113.53055,POI1,0.13411638044997012
4967244,32:09.2,CA,ON,Toronto,43.6682,-79.4209,POI3,6.141235383326147
4967261,32:09.3,CA,ON,Brampton,43.69127,-79.83507,POI3,6.5307849313077995
4967306,32:09.4,CA,ON,Brampton,43.6971,-79.7944,POI3,6.490113532844935
4967355,32:09.6,CA,ON,Weston,43.72434,-79.51433,POI3,6.213903122768895
4967416,32:11.2,CA,MB,Winnipeg,49.94643,-97.17423,POI1,16.703989619584448
4967578,32:09.5,CA,ON,Brampton,43.6773,-79.7615,POI3,6.46416833991945
4967590,32:09.9,CA,ON,Stittsville,45.28176,-75.92937,POI3,2.3754876242315035
4967674,32:10.7,CA,ON,North York,43.763,-79.338,POI3,6.033944224486745
4967719,32:10.8,CA,BC,Vancouver,49.2657,-123.164,POI1,10.582590916445987
4967755,32:11.5,CA,ON,Thornhill,43.8395,-79.3831,POI3,6.055405119594971
4967838,32:11.7,CA,ON,Thornhill,43.8395,-79.3831,POI3,6.055405119594971
4967871,32:13.9,CA,SK,Saskatoon,52.1225,-106.72488,POI1,6.909122559066739
4967969,32:12.0,CA,MB,Winnipeg,49.83784,-97.10881,POI1,16.79152550665676
4968011,32:12.2,CA,ON,Markham,43.90991,-79.25684,POI3,5.914644949683536
